course_code,title,year,quarter,credits,learning_line,prerequisites_formal,prerequisites_informal,category,serious_pass_rate_2024,pass_rate_2024,content,learning_outcomes_codes,learning_outcomes_text
2WBB0,Calculus variant 2,1,1,5,Foundations,,,Introductory,0.7094,0.6877,"Algebraic Skills, Functions(C1)

Recapitulation of elementary algebra and high school mathematics with emphasis on algebraic skills (such solving inequalities), Cartesian coordinates, and functions;
in particular, algebraic manipulation of trigonometric, exponential and logarithmic functions.
Limits(C2)

Conceptual definition of limits; various types of limits; concept of continuity.
Differentiation I(C3a)

Differentiable functions; interpretation of derivatives in terms of tangent line; computation of derivatives using the product, quotient, and chain rules; implicit differentiation.

Differentiation II (C3b)

Taylor polynomials of functions; l'Hopital's rule for computing limits.
Transcendental functions(C4)

Inverse functions of one-to-one (injective) functions; in particular, the main properties of the natural logarithm (as inverse of the exponential function) and of the inverse trigonometric functions.
Integration(C5)

Computation of definite and improper integrals using various techniques such as integration by substitution, integration by parts, and partial fractions;
sums and Sigma notation, Riemann sums.
First-Order Differential Equations(C6a)

Simple first-order differential equations (separable differential equations) and linear first-order differential equations.
Vectors in the Plane and in Space(L1a)

Equations and parametric (vector) equations for lines in the plane and in space, for planes in space; dot products and cross products; lengths of vectors, distances and angles between vectors.",F1,"Students have a working knowledge of
(a) basic algebra, transcendental functions, limits, vectors in euclidean space, integration, differentiation, first order differential equations
(b) vectors and matrices, including eigen vectors, determinants, rank, low rank, orthogonality, (in)dependence, positive definiteness
(c) probability theory, including discrete and continuous random variables, joint distributions, independence, Central Limit Theorem, discrete Markov chains
(c) point estimators, confidence intervals hypothesis testing.
(d) supervised and unsupervised learning and common machine learning methods."
2IP90,Programming,1,1,5,Software Development,,,Introductory,0.9467,0.9467,"Elementary imperative language concepts: variable, assignment, if-else, while, method, parameter, function, types, arrays, scope, I/O.
Some advance topics: some collection classes, recursion.
Object-oriented design and programming concepts: object, class, instance variable, instance method, inheritance, overriding, polymorphism, interface.
GUI: Swing, event handling, simple graphics, GUI components (window, button), simple animation.","SD0,SD1,SD2","Students can determine requirements for medium scale software projects and develop software that demonstrably meets these requirements,Students have in-depth knowledge and understanding of modelling and analysis of information, software development, and the design and architecture of systems."
2IT60,Logic and Set Theory,1,1,5,Algorithms & Theory of Computing,,,Introductory,0.8223,0.7778,"Subjects: Propositions, truth tables, equivalence, logical consequence, tautology,
contradiction, contingency. Predicates, quantifiers, variable binding. Logical derivation,
reasoning with propositions and predicates, conclusion, assumption, context, validity.
Set, subset, intersection and union, complement, difference, the empty set,
powerset, cartesian product.
Relation, equivalence relation, equivalence class.
Mapping (function), image and source, injection, surjection, bijection, inverse function,
composition of relations and functions.
Partial ordering, linear ordering, Hasse diagram, maximal and minimal elements.
Induction, strong induction, inductive definition.","ATC1,ATC2,ATC4,ATC5","""Students have a working knowledge of
(a) the fundamental definitions pertaining to sets, relations, functions, orderings, graphs, and trees;
(b) the fundamental data structures (such as heaps, hash tables, and binary search trees), basic sorting algorithms (such as MergeSort and QuickSort), and basic graph algorithms (such as minimum spanning trees, breadth- and depth-first search), and know their basic properties;
(c) the formal definitions of various notions of automata (deterministic and non-deterministic finite automata, push-down automata, and Turing machines), various classes of formal languages (regular, context-free, decidable, undecidable), and various complexity classes of computational problems (P, NP, NP-hard, NP-complete, undecidable);
(d) the definitions of cuts and flows in graphs, the concept of a greedy choice property and optimal substructure in an optimization problem."",""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."",Students can effectively communicate to peers about topics in theoretical computer science (e.g., algorithms, automata, grammars, formal syntax) and support their claims with mathematical proofs.,After completing the learning line, students have a systematic, formal approach to solving computational problems. They aim to solve computational problems by designing solutions that are provably correct and efficient and reflect on the limitations of their solutions."
2DRR00,Linear Algebra + Applications,1,2,5,Foundations,,,Introductory,0.8430,0.8263,"Matrices, vectors
• Operations, matrix and vector norms, angles between vectors
• Applications in recommender systems
Linear systems and least squares problems
• Gaussian elimination, Gauss and Gauss-Jordan form, solutions, rref, inverse matrices
• Normal equations
• Applications in data fitting
Rotations, projections, and reflections
• Corresponding matrices
• Applications in Computer Graphics and robotics
Eigenvalues and eigenvectors
• Eigenvalue decomposition
• Determinants
• Google PageRank, clustering, and other applications in Markov chains
Singular value decomposition (SVD/PCA)
• Singular values and vectors
• Orthogonality, rank, linear dependency, low-rank matrices, TSVD
• Applications in Web Analytics and data/text mining, feature extraction
Implementing linear algebra
• Flops and memory costs, finite precision arithmetic and rounding errors
• Linear algebra with Python, Julia, Matlab, or another language of choice","F1,F3,F5","""Students have a working knowledge of
(a) basic algebra, transcendental functions, limits, vectors in euclidean space, integration, differentiation, first order differential equations
(b) vectors and matrices, including eigen vectors, determinants, rank, low rank, orthogonality, (in)dependence, positive definiteness
(c) probability theory, including discrete and continuous random variables, joint distributions, independence, Central Limit Theorem, discrete Markov chains
(c) point estimators, confidence intervals hypothesis testing.
(d) supervised and unsupervised learning and common machine learning methods."",Students understand where various foundational mathematical construct play a role in computer science.,Students have a basic understanding of what is needed to apply theoretical knowledge to real-world data."
2IT80,Discrete Structures,1,2,5,Algorithms & Theory of Computing,,2IT60,Introductory,0.9364,0.9364,"In this course we will cover basic discrete mathematical structures that occur in many contexts in computer science. You will learn the basic skills and knowledge to formally reason about these structures. Among others we will cover relations and orderings, counting arguments, and graphs and trees.","ATC1,ATC2,ATC4","""Students have a working knowledge of
(a) the fundamental definitions pertaining to sets, relations, functions, orderings, graphs, and trees;
(b) the fundamental data structures (such as heaps, hash tables, and binary search trees), basic sorting algorithms (such as MergeSort and QuickSort), and basic graph algorithms (such as minimum spanning trees, breadth- and depth-first search), and know their basic properties;
(c) the formal definitions of various notions of automata (deterministic and non-deterministic finite automata, push-down automata, and Turing machines), various classes of formal languages (regular, context-free, decidable, undecidable), and various complexity classes of computational problems (P, NP, NP-hard, NP-complete, undecidable);
(d) the definitions of cuts and flows in graphs, the concept of a greedy choice property and optimal substructure in an optimization problem."",""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."",Students can effectively communicate to peers about topics in theoretical computer science (e.g., algorithms, automata, grammars, formal syntax) and support their claims with mathematical proofs.,After completing the learning line, students have a systematic, formal approach to solving computational problems. They aim to solve computational problems by designing solutions that are provably correct and efficient and reflect on the limitations of their solutions.,""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."",Students can effectively communicate to peers about topics in theoretical computer science (e.g., algorithms, automata, grammars, formal syntax) and support their claims with mathematical proofs."
2IAB1,Foundations of Data Analytics,1,2,5,Foundations,,,Introductory,0.7648,0.7351,"Use basic statistical concepts and techniques and perform appropriate statistical tests
Choose and apply suitable visualization techniques
Analyze and model data using linear regression, clustering, decision tree mining and association rules learning
Read and make simple database schemes and simple queries to a database.
Clean data, choose and apply data transformations, data reduction, and data discretization
Understand, interpret, and document data and information in the context of realistic scenarios,  structure  open problems along the phases of the data life cycle, formulate hypotheses, incorporate ethical considerations and reflect on analysis trengths and limitations
Use tools for implementing data engineering tasks (Python with Jupiter Notebooks) in a structured way
Choose and communicate interesting findings in the language understandable for their end user (visually or textually).","F1,F2,F5","""Students have a working knowledge of
(a) basic algebra, transcendental functions, limits, vectors in euclidean space, integration, differentiation, first order differential equations
(b) vectors and matrices, including eigen vectors, determinants, rank, low rank, orthogonality, (in)dependence, positive definiteness
(c) probability theory, including discrete and continuous random variables, joint distributions, independence, Central Limit Theorem, discrete Markov chains
(c) point estimators, confidence intervals hypothesis testing.
(d) supervised and unsupervised learning and common machine learning methods."",Students understand where various foundational mathematical construct play a role in computer science.,Students have a basic understanding of what is needed to apply theoretical knowledge to real-world data.,Perform and reflect on a basic data analysis using point estimates, confidence intervals and hypothesis testing.,Students have a basic understanding of what is needed to apply theoretical knowledge to real-world data."
2DRR10,Probability and Statistics for CS,1,3,5,Foundations,,"2WBB0, 2DRR00, 2IL50",Deepening,0.6250,0.6250,"This course gives an introduction to probability and statistics. Uncertainty shows up in many places within computer science. In complex systems you may need to consider failure rates of components, communication delays or imprecision in data or sensor input, whereas in algorithms randomness is used as a tool to create simpler or faster solutions. In these situations considering only best and worst-case behavior leads a an overly optimistic or pessimistic representation. Instead, a better option is often to model this uncertainty and analyze the model. Probability theory gives us the tools to do this and get a more accurate representation of the behavior of complex systems or algorithms. Statistics, on the other hand, concerns what can be learned from data. In this course you will learn how to build probabilistic models, perform statistical analyses of real data, and the theory behind all this.
 
Sample space, events, interpretations of probability, axioms of probability
Probability rules, conditional probability, independence, Bayes' rule, random variables
Discrete random variables, probability and cumulative distribution functions, expectation, variance
Standard discrete distributions such as the uniform, binomial and Poisson distribution
Continuous random variables, probability density function, cumulative distribution function, expectation, variance
Standard continuous random variables such as the uniform, normal and exponential distribution, Poisson process
Central Limit Theorem (CLT) and its applications
Discrete joint distributions, marginal and conditional probability, independence, correlation
Linear combination of (normal) random variables
Average case analysis of algorithms
Discrete Markov chains and their properties, limiting distribution
Exploratory data analysis, population and sample mean, variance, standard deviations, Box plot and probability plot
Sample distribution and the CLT
Point estimators and their properties, bias, mean-squared error, relative efficiency
Confidence intervals for parameters of the normal distribution and proportions
Hypothesis testing, Type I and Type II errors, power of a test, p-value
Tests for the parameters of the normal distribution and proportions
Connection between confidence intervals and hypothesis testing
Examples of using probability and statistics to analyze the performance of random algorithms and real-world data sets
Mastery of the course content is broken down to mastery of 14 course competencies. Each course competency is tested at 4 occasions (2 weekly tests, exam and resit). To pass the course, mastery of a sufficiently high number of course competencies needs to be demonstrated, and the more competencies are passed, the higher the grade. Additionally, there is a minimal requirement for the exam.","F1,F2,F3","""Students have a working knowledge of
(a) basic algebra, transcendental functions, limits, vectors in euclidean space, integration, differentiation, first order differential equations
(b) vectors and matrices, including eigen vectors, determinants, rank, low rank, orthogonality, (in)dependence, positive definiteness
(c) probability theory, including discrete and continuous random variables, joint distributions, independence, Central Limit Theorem, discrete Markov chains
(c) point estimators, confidence intervals hypothesis testing.
(d) supervised and unsupervised learning and common machine learning methods."",Perform and reflect on a basic data analysis using point estimates, confidence intervals and hypothesis testing.,Students understand where various foundational mathematical construct play a role in computer science."
2IL50,Data Structures,1,3,5,Algorithms & Theory of Computing,,2IT80,Deepening,0.8873,0.8428,"Design techniques: Incremental algorithms, recursion, divide & conquer. Correctness: induction and invariants. Efficiency analysis: O-notation, recurrences. Sorting: MergeSort, InsertionSort, HeapSort, sorting in linear time, lower bounds for sorting. Selection Algorithms. Data structures: abstract data structures, heaps, hash tables, search trees (incl. red-black trees), augmenting data structures, union-find. Basic graph algorithms: adjacency list, adjacency matrix, DFS, BFS, topological sort, minimum spanning trees.","ATC1,ATC2,ATC4,ATC5","""Students have a working knowledge of
(a) the fundamental definitions pertaining to sets, relations, functions, orderings, graphs, and trees;
(b) the fundamental data structures (such as heaps, hash tables, and binary search trees), basic sorting algorithms (such as MergeSort and QuickSort), and basic graph algorithms (such as minimum spanning trees, breadth- and depth-first search), and know their basic properties;
(c) the formal definitions of various notions of automata (deterministic and non-deterministic finite automata, push-down automata, and Turing machines), various classes of formal languages (regular, context-free, decidable, undecidable), and various complexity classes of computational problems (P, NP, NP-hard, NP-complete, undecidable);
(d) the definitions of cuts and flows in graphs, the concept of a greedy choice property and optimal substructure in an optimization problem."",""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."",Students can effectively communicate to peers about topics in theoretical computer science (e.g., algorithms, automata, grammars, formal syntax) and support their claims with mathematical proofs.,After completing the learning line, students have a systematic, formal approach to solving computational problems. They aim to solve computational problems by designing solutions that are provably correct and efficient and reflect on the limitations of their solutions."
2IC30,Computer Systems,1,3,5,Systems,,,Introductory,0.9162,0.8561,"Combinatorial circuits: switching patterns like invert, and, or; physical quantities, like voltages and currents, and discrete digital information, like bits; from relays and transistors to basic gates; truth tables,  (algebraic) propositional calculus, Karnaugh maps, normal forms; designing two- and multi-level circuits;
Sequential circuits: the concept of state to represent the past; finite state machines; Mealy and Moore machines; feedback to implement states; flip-flops: R-S, latch, clocked; designing sequential circuits;
Number representations and conversions;
Arithmetic circuits: adders, subtracters, multipliers, shifters;
Computer building blocks: ALUs, registers, data paths, control units, memory, input & output, interrupts;
Instruction sets: Machine Language and Assembly Language;
instruction formats; programming in Assembly Language; translating programming language constructs;
Aspects of Operating Systems: concurrency, synchronization, sema-phores, communication, buffering, virtual memory.","Sys1,Sys2,Sys3,Sys4","Students have foundational knowledge and understanding of computer systems, including digital circuits, compilers and assembly, computer architectures, computer networks, networking protocols, and solutions to manage access to data, hardware and software resources.,Students have a thorough technical and scientific understanding of how to program computer systems, how software interacts with the hardware and how hardware and multiple co-running applications impact one another with respect to performance, correctness, and security. ,Students are able to model and evaluate the suitability and efficiency of computing architectures, networking protocols, security protocols, data structures and conceptual modeling structures to address system requirements.,,Students are able to design and optimize combinatorial and sequential circuits, networks and network applications, concurrent applications and relational databases in an effective and structured manner, whereby those systems will perform the tasks expected of them correctly and efficiently."
2IRR00,Software Design,1,4,5,Software Development,,2IP90,Deepening,0.9324,0.9008,"Students will be able to compare major software development processes and to argue about which process to apply in different scenarios.
Students will be able to practice the use of version control systems (VCSs) by developing a software solutions individually and as a small team.
Students will be able to translate requirements into specifications that peers can understand and use.
Students will be able to employ software design principles & design patterns while developing a software solution and to argue when these are feasible.","SD0,SD1,SD2,SD3,SD6","Students can determine requirements for medium scale software projects and develop software that demonstrably meets these requirements,Students have in-depth knowledge and understanding of modelling and analysis of information, software development, and the design and architecture of systems.,,Students can explain and apply several programming paradigms, at least the imperative and the object-oriented paradigms.,Students can model medium scale software systems and formally evaluate their correctness and performance."
